adid,itemid,level
Y0CQ6,NKRP6,other
T4WN6,QVT8S,platinum
GQ8JT,KIE8I,gold
V49GW,OEYRT,other
N9427,TZZSO,silver
9AFZA,GOA1X,other
VPUEM,41BHM,platinum
J82FF,9T4E4,silver
5GT9S,ZOXPM,gold
8N9S2,3KPDQ,gold
YUPSL,Q0D8Y,platinum
CQ4EF,LXLYF,platinum
CF8Z7,33GFY,silver
PN0R2,JNSBK,other
WFUH5,199SM,silver
PBRHO,1GR3D,silver
V1DGJ,Y3C35,platinum
8EBHM,WHQ8I,gold
XHCBM,F6H5A,platinum
4NDB8,FCC2T,other
QEOET,507OD,silver
D63CG,WJ5PN,other
W4KND,MZ0U0,platinum
V7QH2,N108C,platinum
06TWY,IW0J0,silver
A3FVC,1BK15,silver
4WSWI,51CTV,silver
0FAMV,6Y8W1,platinum
2Y0CZ,XJHVB,other
CK2EQ,GT4Z5,platinum
59AC5,81W16,silver
3D0M9,CCC53,gold
IAZ0U,GPBCG,gold
A7GMH,P0M0R,platinum
RLG4Z,P8ZJW,gold
2HQI7,QC9G0,silver
JRBCC,NUUZE,platinum
9UXC5,H2DRJ,other
X8LNY,ET0Q8,silver
JRVVX,GPZPY,gold
CCRKJ,O0B6O,silver
9ISH4,WD5M0,platinum
TL7ET,AJWGF,other
T0GG9,WA88F,other
VH4H5,EQIA6,other
VJKYF,H0HZA,gold
MODYA,CSBS6,gold
7S25N,FZHDP,other
OQK1M,KHO60,silver
B72MH,OHX9M,other
NCNJG,9J1JV,platinum
X8JG5,7L11X,platinum
175U5,2V1QS,other
M8OAV,YMYJO,silver
C7JQJ,LBXAQ,other
4EF7C,BS6HD,gold
CTA2V,Z97S2,platinum
3X6Y7,MYA06,gold
7E1NS,K16BX,other
4YOBA,Z1G2E,platinum
QVE5Q,SKF0K,silver
YYDKI,27SZF,platinum
VDC40,1WT76,platinum
FJW0C,FNFQ2,other
DG4JB,9N9TR,gold
IUG9W,JJGOO,platinum
5HD3V,JUHND,gold
SIYSH,D7KEH,platinum
Z2XM3,I46YC,silver
ECC5Q,KLTHN,gold
NOF67,2BZ5H,other
HJ11F,LPFGP,gold
G0JB2,U4IT7,other
B5UQF,PXSIB,silver
WBWWL,4RTIO,gold
OXEJN,YQACM,gold
HASXB,LYJZD,platinum
L3H4W,6JEDO,silver
NXV4S,8515L,silver
9ULFG,72VJO,silver
JIOU6,PNV6Z,platinum
LSX0C,220YV,platinum
ZEEI0,KZLD4,silver
J1TWF,WJVR2,platinum
X7DY0,QM5R3,gold
U2NXS,EEOKB,other
LGRH9,6SCTF,platinum
2ZL01,BEXSP,platinum
3V7JW,GDA7I,other
F4NSA,D26MW,other
ANTHT,30BZP,platinum
4F5O8,TLK9K,other
BHRCA,B5PEW,silver
Z2GQW,37ZPB,silver
MFCEQ,02YGN,silver
H7PKE,QQEM3,other
S7I7N,86J10,gold
8ZRS2,E62DS,silver
IKHHY,A0VN9,other
I9TW4,9XKBX,other
56U5D,ASJPL,other
5DNBW,X2J7P,other
A7EFZ,RGX5T,gold
2XAMN,9P97R,gold
HARSO,JXY8R,platinum
SMG13,M1GV3,silver
V01J2,EFBHU,platinum
INL2W,UGNRH,other
5YOM2,IQ1AH,platinum
DYCOF,WU0G8,platinum
LOTF6,DS4GZ,silver
W03D7,YCMC6,other
5Q4NV,81FOL,silver
DKWAS,KLB1H,gold
1OZ9O,THOFT,other
6IJEV,LW5LF,platinum
GFUU8,WRWM4,other
QB7CM,R8VMO,silver
7WMMQ,M19FT,silver
YQ4WP,3CC82,gold
9EA35,YZ6S4,other
0532H,JD0UD,gold
GJ0N2,ENKHD,gold
9ZCLP,KY2MI,other
RWU1G,FCPWW,silver
MS263,NCXHW,silver
BHGL0,X6B1N,platinum
A861D,7Q1IE,gold
RHWO8,6K3AB,silver
PE7TU,RGFOT,platinum
4SKIA,F8X3C,silver
BIZJL,GJM6C,gold
N5NPI,Y4RI7,platinum
WI5GB,QFD9M,silver
TAO9K,ZEJ0P,other
48UFQ,30QV1,platinum
MUSYD,NBGBF,platinum
PV2OQ,I3HI7,silver
TBW8D,XA91K,platinum
5DBPC,9XJ21,gold
UEDW1,KV1DG,platinum
N21JW,WQ8M2,silver
V0YA0,4PSLL,silver
3CH0Y,TUUJ5,platinum
I6JFV,D86Q5,platinum
LPBK9,GJKO5,platinum
1G3JC,3U4UW,silver
YBC5F,DYM05,silver
J3P6W,FSCOL,platinum
ZVR5Z,A84FX,gold
S94C8,JC74R,silver
C3ZHZ,6VNJH,silver
BRCQS,PG93O,platinum
7VYQN,DFOCE,gold
VP8WK,ME6NS,platinum
ADJWX,22V1Z,silver
U5Z1K,K9G6O,gold
C2IVA,J348U,other
QME91,IMK9T,silver
L7KEK,H7ZHD,gold
8Y1RT,FR0CJ,silver
RQ879,TYQPS,silver
M1JA6,8HNRI,platinum
YX3C9,Q6Y9L,other
OBX7K,81CD0,platinum
5BPPR,CZ8HX,platinum
0E2P2,9PSME,gold
K2E1Z,P3Q01,silver
WUFTB,GYBWK,other
QMZY1,J60K0,other
C3WIR,KOPC4,silver
Z47IC,8XMVH,gold
WXAEM,XYSW0,gold
4CUBU,F3WL1,other
R0JJZ,68Q33,silver
KII4C,4SGJZ,gold
YLWFF,FYKAL,platinum
MQUQQ,F851I,other
J29JC,CRJ9N,platinum
CUEM3,ETORL,platinum
7KVI4,JF1A2,gold
7VAFG,ANXVB,other
2VY6X,4UAZW,gold
BLIBV,R912K,platinum
DTYDK,Q1HVC,silver
E0D2W,ADZWR,silver
30LB3,NAA18,silver
YEWGH,B53W6,gold
LZAU3,6EPJN,other
D8ZQB,8F2RM,gold
FVWG4,W053N,gold
7SCAY,WBWBB,silver
9JKLK,G2VQD,platinum
VB4ZC,CFGAT,platinum
SVKPW,QZ2C4,platinum
03XIY,ZOV7D,gold
AYLJB,N6Y1Y,gold
6ACDH,8FWGU,platinum
YB01V,UZBBQ,platinum
X6N8Z,27ZOS,gold
WG11P,K2CD7,other
ZP4ZE,M5XSS,silver
7X8B4,EALTD,platinum
UZG8D,N9B9M,platinum
B0Z1G,CCNGL,other
KKV40,YPL86,platinum
S6HXW,9TOD4,platinum
47DMQ,DCF51,platinum
USYCS,5ZS2Q,other
0RYNW,L677M,platinum
WKB1Z,77X9V,other
E189I,0EY1B,platinum
KOB7I,E1UZR,other
SVH0Q,OC8QZ,platinum
6V8JY,V7WX2,silver
YWY46,EERSR,silver
0GJJA,LERI7,gold
N6HRK,5HG8G,other
CAHX4,KWPI4,silver
2XQ5O,MLE0C,platinum
E6KBK,GEEHM,other
N2ZQB,VK0WY,platinum
K2DYF,VKZMC,other
63C4G,14NRE,silver
59Z4Q,U78VC,platinum
XKTJ3,ROJWJ,gold
4Z09F,3Q97W,silver
HSJXG,GS3YH,platinum
DI9MA,RCBHZ,gold
95G49,OF17O,silver
VGAPO,OSVJ1,other
TROA5,LQA5A,silver
6VFET,N8552,other
XYJOS,63J70,platinum
4WSYI,MW9WK,gold
ZSG4S,61A62,gold
WPLV5,NUGFJ,platinum
YY363,A1793,platinum
6T5OU,C8TTN,gold
UZO1D,KZZIF,gold
QMULH,AOREC,platinum
XBOCA,LC7LK,other
IHMF3,JS28E,platinum
70E8L,WK7XM,platinum
0Y4A1,7M555,platinum
CRBWX,BEXSP,silver
I7FQG,HWFRW,gold
JIYNU,XDNR0,platinum
6H9G4,OTH73,gold
24L39,XGZAA,silver
QYF6V,1UJ0K,platinum
W40B2,BMMKP,gold
2O1PQ,MDMS7,other
O2SX5,LZ3IZ,platinum
7FMT7,PYIE4,gold
JVCVK,8DLVE,other
M05MK,Q13NU,other
V7MUL,I04YY,other
U9MAC,RWUY0,gold
2OG71,P4FIZ,silver
V5MKX,6LAY9,silver
Z2U3E,2A0CU,platinum
HJZ38,CZIJG,platinum
CBZNF,E6FLL,other
08NAI,IKCQ5,other
88EF5,7AR0K,gold
XTFBP,DI1HA,gold
6XJ3Q,EHP5D,gold
ROYY6,6DQJD,silver
QFCJU,IOTNG,other
741UY,MQ6D2,gold
IJBH1,VULNG,platinum
RQYHW,IRZF9,silver
M88DV,C3UOQ,gold
5BQVI,ZG4HN,silver
G90EQ,6ESUH,gold
I5C7O,DOGKE,silver
NLOZM,D9SEE,other
RW9MN,048AF,other
IR9AF,XDEYL,silver
UCFAS,9VJN4,gold
RM69W,AVNN3,other
680HF,QFD9M,other
LSP1S,UMYSS,gold
AREUU,UZVYN,silver
P7IQD,JV2CT,other
OQU85,9S7LO,other
1XK7D,6EZZ8,platinum
4YBPF,GP0RV,silver
LI2AX,K4R5Z,other
P5SRZ,JYKNH,other
DK7WM,7ZPZ2,platinum
TJL9Q,EEOKB,gold
0KP9I,OLHBA,platinum
7TB3M,69LDO,gold
Y6YNY,TQY08,other
F8AFA,TREMP,platinum
2R0WZ,HK6D7,silver
KPNCD,J4142,gold
P2I6S,4M3R4,gold
WWXT6,ZHNQD,silver
4MZV4,34H2Q,silver
4SVWY,Z4P7G,other
6TPM1,KHLLE,platinum
K6I78,CT5PR,other
Q1T37,NV9W6,gold
MQ3EB,PUDUJ,platinum
QANLL,4CXFK,silver
RABBK,T8QOI,silver
IF79Z,6WUM5,silver
PZ5XW,MJXFW,gold
HBLA8,RQQTP,silver
NYMUL,1PMBX,platinum
J60OA,1MCPH,gold
CI6F0,W6HFD,silver
MDVIU,HRNR4,silver
4VRE3,F2VXY,platinum
6Q9Z2,480VS,other
0IHHL,M4FHX,other
G1QRH,1RC7O,silver
8EACA,PMSO2,platinum
0Y4BU,SDD2W,platinum
ZODN0,4QCGX,gold
ZI9T0,W6ST3,other
8D28J,KLT06,platinum
KF4SR,4EPK7,silver
AD7EA,NUU4G,silver
J6IHV,YL4J5,gold
UJVEF,XWB18,silver
2V548,NU9ZJ,gold
2YZ84,3BGXG,other
OJZ6U,WMG3M,platinum
JJCYH,2D9NJ,gold
TW4ZU,WSRN1,other
O6CYX,SK50N,silver
APE4H,6WWSZ,silver
P8B76,AR8E8,gold
WCXLV,FJ37V,silver
0AP4W,0KRSQ,platinum
47KYS,52LU9,other
B3L2U,QSJZI,silver
J61ZP,AP0H1,silver
PNQP8,7XKOS,silver
09VKV,1H109,platinum
PVJUP,99OKS,platinum
Q9L8H,1ICFS,other
LWPF8,HI5F4,other
SYR6M,6FE1E,silver
UBCMM,H1BUL,platinum
3FQ6S,DBPHV,other
R92T9,NDM2R,other
4XOFF,OAANE,gold
B6VGP,WHBXA,gold
GTFZI,0O042,platinum
KLOII,7ZGCQ,platinum
TJRNF,BEY1S,platinum
0LMBW,Z73MX,other
RFROA,7ATM4,platinum
A0IJ5,EXQ8Z,gold
OL3U2,XKZZS,platinum
RMGW5,YQACM,silver
SNS9Z,FGIRP,gold
HG7I3,YX8X8,platinum
8MLEQ,XUK78,other
Y6DWY,58SFY,other
8JCT2,8EHE2,other
NZFG8,S68BT,other
3KCMO,3SGCB,platinum
Y0E9N,XWGLM,platinum
FMG6I,B56ZO,platinum
71ZQ4,S7N68,gold
NCM2N,T30XR,platinum
JP34F,N4Z05,silver
SZVTF,5W796,gold
XFOI0,CIZ9R,platinum
5SJ7X,MDWWJ,platinum
UUEXM,WL502,platinum
71YZC,W1URV,platinum
SJ7M5,AZI9G,silver
J1QNH,21SSY,platinum
81LCT,V4DM9,other
XGG5P,VAB3D,gold
F3QQ9,FSQ3D,other
H7K5P,QVE5Q,gold
JJLEG,YBE2H,silver
3Q0CE,C8LVX,platinum
2DWVQ,YF59W,other
BSPNF,8MWF5,platinum
7N2UA,OH7OM,silver
79IV8,WP0ER,other
TG2RP,B6L45,silver
TFXJ2,913R9,gold
2DS61,KRW2B,other
7MKAR,E6QYU,gold
QM54Q,1FO1Y,other
5RLAN,S16IZ,silver
GB1TU,4XXY4,platinum
IHPW4,ANXU6,other
W110X,Q83P8,gold
92IGA,K2HTL,other
PZG0D,TKKOY,silver
TR7H9,HT3YM,silver
JAFVV,ZVVTC,other
PX3Q8,5I0AY,platinum
ZAGAG,ZX8TZ,silver
T8H6T,C3NV8,gold
SDPHK,WNPM6,other
3QK2B,PBCIG,other
HGTFY,3CRG2,platinum
YO369,I6OOA,silver
A0OSW,D8PUU,silver
3QWRK,ZRT7H,platinum
V9IC5,N3WOD,other
1B84V,AYP1L,gold
S026S,LQ4YI,gold
FWY0Y,LWOJJ,platinum
Z9A1S,BEDDY,other
1ZT49,6FE1E,silver
KWC12,I53DI,other
OVOYB,OWS7F,silver
5EGLC,A6GK8,platinum
LA711,HGT1F,platinum
2T8CK,TCM7S,other
GH4ST,UYZ5O,silver
RV3ED,DND5A,silver
3T9NY,FSIIK,gold
CFXAS,1BZKW,silver
CCJK4,MLZ88,gold
B9IGE,9AMVO,gold
HMG51,SYZYY,gold
26K8G,R8ZNT,platinum
16IF6,58SD0,gold
9PGYX,G9WMY,silver
8ZTPF,L684Q,platinum
XSW6X,RL0FW,gold
JQNIL,VAPZV,gold
4IRQI,085HX,gold
WUMG6,2C2U8,other
QUMHP,UIG0A,silver
GRY9W,AEZ0L,gold
OZC08,E2KKR,silver
KQCRF,BVXGZ,silver
AROLQ,DOJW6,silver
7HK5M,MOSFB,gold
CQABK,R66RN,silver
ZO9MC,R3GNJ,platinum
82VWX,E5WMF,gold
B0XL4,WCXLV,platinum
YAM50,843F4,other
KATLG,ELZBH,platinum
ZQ70U,UH85O,other
HQUQQ,53LLM,silver
6B566,JPAQK,platinum
0CB09,AUR0N,gold
RBB5Y,FM2Q6,silver
7294L,UOGGP,gold
NT1EO,KCFRG,gold
3I5U2,0530H,platinum
Q5V7O,75F48,gold
6QZ8G,QG3B4,silver
54E7D,GMPPF,platinum
IQFTW,PI8QJ,platinum
XCVGG,JHAMI,gold
TXLA4,MB43W,other
NF0R5,ICWTJ,other
YJ1N1,O7OXI,platinum
I3UXS,5BPXO,other
K3IVO,UXGSA,other
82ULF,MYM9T,silver
WHHYU,TW1LD,silver
AMTLK,2OSVX,platinum
PF7QG,HP963,gold
FZ35J,HDBUH,platinum
HJHZG,F6BXN,silver
GNTZL,XWJ9L,other
VLZQL,0ZSTH,platinum
FN7W3,5W2TE,gold
1T3DI,3QEXH,silver
OOEI2,EHPZB,other
OHUIM,OZW2H,platinum
U5V46,Y681K,silver
BLRM6,COD2Y,gold
LHD37,TEFZG,other
UVOV5,U4IAW,platinum
B4IAF,THJKW,gold
HDUTM,LB1T8,gold
OLXY7,EN3IG,silver
NZCOA,UKONE,other
0JMEI,RVLZQ,silver
S2V70,WA65H,other
R7T28,WN1R6,silver
VZRAN,CO260,other
Z1IL4,UKF7Y,platinum
KMER6,N9JTY,platinum
L5H4P,SQJ5E,other
HD7CF,11WU4,gold
IJNWX,U1CXQ,gold
5IV7N,JDLBS,platinum
2SGI0,S7MF0,gold
MILRR,QJNLX,silver
V8GFZ,PONU9,gold
V1PV1,YZX0A,gold
45TPY,050LI,gold
KF9R3,0MYC6,gold
KJ9V3,EUDZ5,gold
3HITV,BR9EJ,silver
52AUJ,EPY1I,other
TLKF0,V7WX2,other
8I0VI,X2NY2,silver
KFFPH,VR5P7,platinum
MBYVQ,Y8XJQ,silver
27CT2,TLFZ2,other
O4A7Z,XVC1J,silver
WSKLR,GY5X2,platinum
DRXG0,R1CW2,silver
HWYJT,K3HA8,silver
EP8EN,UGQFT,silver
9GKKD,MGXIN,other
N8D5E,695U4,gold
MK5M7,PFWM8,silver
FJX8A,CCC53,silver
8OTA0,1M8JK,silver
RWGTJ,VH764,silver
AZA1O,AJQOT,other
SAL38,CU1WJ,gold
ACFIZ,TVSC3,other
O9GBC,XPGWK,other
SKYBU,DOPBR,other
6WPC0,XSDKM,other
DMV3L,PDYWN,platinum
MHSUV,91QWU,silver
5KYO0,G0T0N,other
2XC7O,B907L,platinum
5OF8H,ZHIQQ,platinum
TBUHI,12A9L,platinum
QAXIC,H9AEI,platinum
R0DPR,016DI,platinum
GR5XS,ID80Q,gold
GWSMV,SMLMR,platinum
MMYH8,SJHD5,silver
WZB8C,JUTW1,other
QM6TF,K6F80,gold
19WLJ,K0S54,gold
SL5SP,6FIET,platinum
MW1RU,M3NXI,gold
I3W6I,4IOM2,gold
3Z4UT,KYSGP,other
C0E3L,FYCNQ,gold
ZOSG1,5BIP5,silver
BDZ07,OT7KI,silver
PKGH8,ZZEBR,platinum
56P1J,07W0X,platinum
LBVJG,9FRB4,silver
PG9G4,YJOSM,other
FNCZQ,1ND3Q,silver
VQE2I,POV3M,gold
2RVQ2,6XBIN,gold
UPWXW,EJL0E,other
Z8TZB,MBIR1,gold
1JFID,1INO4,silver
XPFO1,0BO2O,silver
SBE3R,TA0P2,other
2AKAK,FU0WT,gold
DOO5Q,WMTTJ,silver
X8U56,H0LQB,gold
NOGIG,DYM05,gold
F132Z,WRWM4,gold
7U7NI,P3RB8,silver
Z7D3P,01C4U,other
THUQ6,7VBRB,silver
GVG9M,QYEGT,gold
BBT3H,OEIEW,gold
PR6TQ,MWWR4,platinum
Z24TV,PDTL7,gold
SGVFJ,9KFP9,other
WROL9,VKVKU,other
4GFL9,V4QMZ,gold
XVXDY,0UA3S,silver
S4C86,NL6K0,silver
RUEWB,SDE5A,other
LWSQ5,ZI4QR,gold
PWOHD,0MEFB,other
YCUBA,77EMZ,other
NL3GZ,J5I30,gold
IDAQ1,J0J44,silver
V4VQV,I61YT,platinum
7P27B,FWARA,other
7MH9P,OB3ME,gold
8UJP5,LN2IP,other
2QLCX,R2DG2,silver
VROZA,WMS35,gold
GIVKB,10RVC,gold
KJFIJ,K0OD4,platinum
BXSWB,IRAFD,platinum
AXXVF,YO75C,silver
0MXQJ,5A8BD,platinum
LI6HU,RGKPY,gold
WQ3Q2,POV3M,platinum
XGUJQ,Q60SI,platinum
FXXRW,XMIBW,platinum
NMK31,F75WN,platinum
XIB20,4BOKQ,gold
YSM1A,PW5AR,platinum
551ZZ,Q8A48,gold
KUH62,DZ0HE,platinum
YOIQB,YNLMD,other
U4W6O,NHSXD,silver
B5IRN,OQ4HC,silver
S1OAO,DR9TG,other
Q9MIY,J3EE4,other
4IBZ1,4FQD2,silver
JS5QZ,DDOZQ,platinum
3ML53,T3HDS,gold
0M7S1,VQSIH,gold
KJNTI,205RS,platinum
KDGIQ,E6QYU,silver
97QG9,9T4E4,gold
14UOH,GBRYR,other
FQ8WJ,4CSNW,gold
YXBXV,FYOUK,other
HG9MN,QJZU3,silver
ZJCFC,S994H,silver
0H0NV,QDWW5,gold
NA7R0,S3HEZ,platinum
GXVQ6,UG893,platinum
NDGQ1,X7HK5,gold
GUVHS,IDQTA,gold
TEGZ4,WYG6I,platinum
OIPIC,1ZK2Z,gold
99P1P,76XJN,platinum
GVLSG,AU395,other
4Q4M2,XMIBW,platinum
ZW1QY,B6AX9,platinum
85HPW,EZUQS,silver
2NZOS,01JMW,silver
C1B9B,DHU5Q,gold
T2VB9,4SGJZ,other
RCVCD,13TAI,silver
HA7G8,EJN0A,gold
0RGGL,9V8II,gold
9PO4Q,TASKW,other
775EO,T6JD9,platinum
3EPOH,AZYSE,platinum
50QM9,YU4LT,gold
YJ5ID,A6U6T,silver
430V8,Z4YDL,platinum
T86PV,CPPIR,silver
61RSY,H1SGN,silver
NGTTM,9UGYN,gold
8KUN0,JL42X,other
PR7XZ,NT1N2,gold
42GKH,VC80X,silver
YZMBK,FWQVV,gold
V1YCR,0TSBW,other
AFCJ9,T2NV6,platinum
V1I6S,V450J,other
ERJMP,H879G,platinum
B2RT7,IRA4T,gold
KCKA7,LRPPD,other
UB36O,QQJAK,silver
D125K,YE8XI,platinum
ODURF,HYNXJ,platinum
B4WQ1,JMZEX,platinum
7LK1M,XUHWH,silver
3SR7V,IXPUB,silver
E28HG,A4DVH,platinum
0N8QW,P0A56,silver
A7E0H,MDQWD,other
EG3JY,T9X1V,platinum
9CW1R,SR0SZ,silver
28UM9,LXW8K,gold
260I9,F851Y,gold
S9NQD,2NI49,silver
SYICM,NCCB8,silver
2SAC1,8ZMCH,other
AKGX0,UWRHD,platinum
RZ6WJ,9VAYC,gold
CZYRV,QZ15N,platinum
PC5PN,2D25T,silver
L2OCF,SWJ4X,platinum
1BJST,7TFCX,gold
T5YHW,7B8CN,gold
XOCGW,6O031,other
TSGAE,VX215,other
5N59Z,NN5FM,other
JA73E,5NE9G,other
ULFV3,4PIWB,platinum
0DKQS,1DUJR,silver
1A5E4,7D3PZ,silver
9X4ET,UVXD3,platinum
03W2J,QX44T,other
EQNI7,VXVUM,silver
A1WT1,517TB,gold
CCP1F,ZSCBA,gold
4NHRB,TP7CE,platinum
DEBQJ,C228J,other
KNPO8,PGXKC,gold
25VJE,WMPX7,gold
DDOZQ,PPQ4E,gold
G9JFX,VG902,silver
M8N96,J1HWS,silver
KLWEG,08OCF,silver
ZHLD0,U0IK1,gold
UPBDC,5BYS4,gold
UHFSQ,31ZNL,other
G1OQR,BJH11,gold
8HXXR,LO7SA,silver
0SXRA,BG9KW,platinum
ONE1W,5S45K,gold
O9FS6,N349R,other
WN3M3,P5NTJ,gold
MWUVB,FWRER,other
GUY1X,K27EV,platinum
XYY9S,2WIBF,platinum
EYNLM,SI1LW,gold
YEG9C,FD0NP,silver
W30VT,8RD4G,silver
1K2I3,UW1T6,platinum
WUHBJ,2NXQQ,silver
NHSXD,V5JOM,gold
9OB34,DH3NX,gold
NNMWX,UJIC0,gold
RAVDW,LRCM7,platinum
19J34,FXE7Z,silver
BF35A,IJPCC,platinum
GYG0I,V349Q,other
TYA8C,LTQKL,platinum
L3L2M,LK4O5,gold
C645Y,WD6W4,silver
3V8GK,5K743,gold
4R1OC,IHVX1,gold
UY5PB,Y8CE0,platinum
VMJS8,4CXAF,platinum
GQYNE,0PAO8,silver
J085G,42JI4,silver
XZW0Q,XGG4L,gold
3XNFU,4TPSE,gold
0N1P0,6BF98,silver
NTENT,VUZTI,gold
P1USK,JM6W9,platinum
5AI5E,JV16S,gold
2RM68,FCEQT,platinum
SW240,K7EWL,platinum
NQ015,22III,gold
5VDU5,YJC1G,silver
2EF8S,2RY1O,silver
V3HW2,7SX7C,other
Z8WAW,RMUBQ,gold
461OD,76TPM,silver
8M8NH,WFSJG,other
DQUVD,VF5GB,other
J6B0Q,EC82Z,other
8OSKP,USL6I,platinum
PPRWM,9WL5O,silver
YMNNY,QIWDL,platinum
TFGTN,D5B32,gold
F2ST5,UKAT1,other
9X7GU,JU8WW,other
8J4Y7,8C3EM,silver
8JIEJ,S7CSR,gold
O6WY9,RGTHN,silver
199PG,HRLIG,gold
V08TN,LK56C,other
S784X,47TZC,gold
AVW3J,5N9XV,silver
2L5T6,GJUIE,platinum
7WV1W,NDFV1,platinum
056F3,Z7F7E,silver
84H9T,B6DYH,gold
XCLTL,WNR4H,silver
OYV8A,58O0H,silver
2N30U,5YQ54,other
MK4DM,HDQYO,gold
HH1M7,1MJRQ,gold
KH0V6,0LK75,platinum
DHHM7,RVWIF,gold
9FFAL,ZNGQO,silver
7JTSO,XC4M7,silver
I5KVM,H94MO,platinum
Z4YDL,NNMV4,gold
MB2Y1,DU8GU,other
EW51V,7ARMD,gold
H42M2,YENHB,gold
COU6R,7PDFD,gold
XNPMU,E76YX,gold
GDFOW,XFNKK,gold
RML22,WODHB,other
F69LH,P9FRM,silver
LEQ1T,PWT57,platinum
GPNTQ,87TYB,gold
J85QI,IVQEB,gold
M6POI,3ZYZ5,other
5GX18,O0M6V,platinum
IIYX7,LK95G,platinum
NWO5D,6DQML,other
3C8UM,ALSPX,silver
BU5E9,VYW4E,other
T8LOB,XUF5X,other
N2STS,Z6D71,gold
WRFAB,MEN7X,other
DJFDQ,TEN54,silver
EFOCU,CEEG6,silver
3B85Z,COD2Y,silver
BPWWU,RZBJD,platinum
ZDBR8,I8YRO,platinum
JAZQP,0LF5W,gold
L2JOV,YOBR6,silver
6E64O,6L2BZ,silver
XTQOT,SRWPO,silver
SRY5H,632TD,gold
LNRX7,X11HO,other
0N82V,EIFCE,gold
4TGBC,F07JE,gold
O91U6,1ST10,gold
S53DT,W8LR5,other
4I8OD,4B49P,other
POCSH,P4ZEQ,other
OCX33,IWE4S,gold
VQITC,AYQOU,platinum
QPF3H,EHFEV,other
LT6GA,3HDW5,platinum
8LXVO,ELKUK,silver
6DYQS,0YLHB,other
DAIO9,8JLCH,gold
ISLK5,7GBLS,gold
5T9PW,6YDWN,gold
OJJR7,LKCEP,other
SMVNI,0TXQ6,other
K6O1Y,B1WTJ,silver
WT3I1,IJF4T,other
NDQ7D,LA3AJ,other
D0LBA,K5CQA,silver
ECRVB,O3WUR,silver
GY0VN,RJS2K,platinum
2YU28,G9M7N,platinum
GS2HI,SXNTX,silver
P6V0V,LZGXR,gold
5AHJI,9BNZR,silver
IPKWV,4NBH1,platinum
PC6M8,CL0BZ,other
LZ45N,5QZF7,other
TOH73,LZV8U,other
RUFGJ,U7DGF,platinum
LD3L7,HAAT2,other
PLMCV,KS2PG,silver
TVVUF,INGT5,silver
E5UW1,XSUDA,gold
HBJ8X,ZI4TG,platinum
9GT1Y,DBXBK,silver
4DPRV,WV9HK,other
UDFEC,UP07X,silver
IDTQO,KTJZ4,silver
NNI2Y,KS0TW,platinum
YUVS1,1E322,silver
MB1JU,0WRP0,gold
O7I4T,0WU9Y,gold
28J6Y,GB9XY,gold
P309U,72W1H,platinum
BRZJO,M5DUP,platinum
06LJD,AZCO1,platinum
GAPHE,0DVVQ,gold
JNV07,OWLD8,other
FUYH6,9S51E,silver
DSTCK,V5BD4,gold
WSK31,C47IM,platinum
PFH0K,97LJB,other
7387L,VA9SH,gold
GB4JN,JKTAB,silver
F67QI,04AG5,silver
HZAS9,RDDXQ,silver
U5TDB,92CJN,other
HCNQO,A0D5X,gold
OM6S1,Q9VYQ,silver
340NN,7LXHU,gold
XKTNC,OXAY5,other
8VNIS,V0FGF,gold
VDIE7,EHZRI,gold
DHJYT,25IZ5,gold
M69AO,4FS7I,platinum
2QSL6,5YK0A,other
GKH9J,YQD0N,other
CTNHQ,ZJ0UH,silver
OR913,BOJEE,silver
O80G0,O3W1W,other
XPB6E,TOMKL,gold
WMNV1,7CQEC,gold
