adid,itemid,level
51TRY,TKR2V,silver
JIBEL,Y3C4O,gold
X731M,00E5T,other
6Y3ZQ,3R096,gold
SK98Z,ZT3S8,silver
FT1T1,C96GY,gold
7SMA6,MV835,silver
XYXYN,MR5BC,silver
ADG60,RPJTC,gold
OVVWX,KQ51N,platinum
FQVRS,W3OOH,platinum
ZOGOR,38T6H,other
ISIRD,2UBTE,gold
VH2DR,WV9HK,platinum
NOVFG,EB72M,silver
T0X8L,VNT52,gold
IZRF8,SPTMC,silver
K40PX,NK471,silver
VLQNG,N1OKM,silver
ZV3GE,AN2FB,platinum
MXRCI,4WI82,gold
X2STV,C86BB,platinum
ASKB2,LRPPD,other
H14FC,6C767,other
1ORI4,HYL7S,other
W08T5,26E9V,other
TFHGE,FB3E6,platinum
2E3B8,YHKP2,platinum
ZKGXK,7FFU2,other
JVCHT,XXRU5,silver
LNZ49,IKNTK,gold
ZHTX8,KD3UG,other
F2OS4,WCB6Y,gold
BHBV1,921SB,platinum
CGGT3,W6FUM,silver
1QXQ0,GSRE0,other
7T41P,GRKEY,platinum
SIGLI,YT2V9,silver
SRGUH,EG1FE,gold
EU7CR,IQQSN,other
HKQMO,RE28T,silver
CDAMG,6MXTX,gold
5FTM6,ONH6R,silver
1KP69,ERILV,platinum
MD715,71R03,platinum
66ELK,3RS6I,silver
K0X10,NN5FM,silver
006O3,SD3CG,gold
47CUV,MMS71,silver
S7EDE,Y8TQO,silver
RPFGM,7O1BW,gold
QF6CB,7217W,platinum
F1IWE,R5VV3,platinum
O4F7O,DNYTK,other
3XPIH,UH1IX,silver
6DZN1,F3GZL,other
YC9A6,JMKN1,platinum
XBIF7,GULUK,gold
KYXNE,Z95QI,other
JO40T,HX2ZN,silver
RTZXP,J3E8C,platinum
0IZSN,4UG2X,platinum
UVCSM,CKRT9,other
CK9NX,3YS9Z,other
O7IL4,I7KWS,platinum
CZIDM,4MX3D,other
AZ78H,E1ZRQ,silver
U4D5I,PFJZX,platinum
W3UDF,LO00W,platinum
AF0RN,XE8IF,gold
V49Z9,TZM3X,platinum
E55B2,J7Y87,platinum
OT7KF,QHXA3,other
ZZLBD,CCGMS,gold
5GENZ,EBJX3,silver
6478U,XMG0E,gold
VQBRD,DCMAL,gold
A4WLP,HLXUW,platinum
KR23I,BKH3U,platinum
LHOIF,X8GN7,silver
BQLC2,YQRR6,silver
GYRUZ,J9T51,silver
UM7T5,4S1DM,platinum
RWK4T,U2547,other
BJ9RL,BR6RQ,other
TQBWG,TLLP3,silver
7UO6P,4931O,silver
KU7NQ,DSDYN,silver
ZW8YU,0IO99,silver
ZSO8G,5JK7S,silver
KHRU9,V1368,gold
AJX4G,P92DM,platinum
OQDAW,WASYY,silver
B6AYP,IIKZG,other
4SIYB,US4SQ,platinum
EFTEV,NRF2O,platinum
HNGLM,QCO3B,platinum
XF7PR,78S9D,platinum
RFN4P,VOJ7T,gold
ATLNB,FDXXW,other
7WOZI,GOE8P,silver
66K5E,CEKOZ,platinum
40QLA,MI8B9,other
CECW9,YBS45,other
W7VIV,ZWY64,platinum
WFRWZ,0YPWW,gold
JY6SQ,7VBGQ,silver
DHM4F,CFSGT,silver
Q2K1N,QM9C9,other
I449X,FF443,gold
EUY5Z,YJOVW,other
3GWO8,BJJUD,other
727GZ,KBL3I,other
2UY3G,5YC7S,platinum
2LNLH,YEJBQ,silver
7L92O,I0PB5,platinum
4LC7R,7N8JR,silver
B5R1C,1VSMH,silver
8447V,EK73U,other
8RCEF,SQN6Y,platinum
RU8L8,160KQ,other
6FBXA,22MKE,platinum
4DJXH,JZA8P,silver
054UK,32SXI,platinum
UK0YV,Y77KF,silver
80J2F,EKDJT,silver
B72OT,U36A1,gold
WF6RB,YV4D4,platinum
E9VER,OBL4U,platinum
PA18V,M38H8,other
Y3H7A,OYFNI,other
HWE5V,FGCK9,other
G8AL0,HDX5Q,other
CDKWL,A5FVJ,other
4UTGX,4TB3U,platinum
31RXM,ZQSTY,gold
X3L0S,ELFRU,platinum
RWUY0,SJCXR,gold
NCN5V,PQAFJ,platinum
P54PH,4UA1H,platinum
RUIC6,IU79H,other
3CQ3X,EWAI2,silver
1.70E+05,35P8T,silver
0S24Y,W721P,silver
IWT3J,WQJJF,platinum
3IQHK,OAANE,silver
4C9L0,Y1X3D,platinum
WAUVG,YHRLM,platinum
YCYSP,FQ44E,platinum
GW9NM,WIUUS,other
K1BRQ,X3N82,gold
SRXC0,3YOIC,gold
MAJFM,FGQDK,other
UGGPU,WJMS4,gold
L8P57,2JBJM,gold
6O6VR,8BMY4,other
A0FWS,IKNTK,gold
DXLGP,5S22C,silver
CV9PO,WAL6O,silver
FDGU5,KKOKG,other
Z5VWC,NFLPZ,platinum
8VI0V,A8DSM,gold
0LW33,6S3Q1,platinum
AO8EP,6XUMM,gold
02PTG,XVZUK,gold
DBJD4,LNW2F,platinum
JCNK9,2LJXB,gold
EJ8AM,S2G0E,other
94A37,MOXYP,other
B2L5M,8R406,gold
BUYHZ,TK7D3,platinum
81TL0,6K2HM,silver
7H0FW,IWUS7,gold
4SY25,ISXVE,silver
466PB,LO4A2,silver
PTQ11,UTTIV,silver
BPI5N,UZS96,other
5D94C,V2MD4,gold
GOE8P,E9AX4,platinum
TJNQ3,CHC0U,silver
QO90N,VE0PT,platinum
C6IRX,Y3FSM,platinum
OB7E5,G1UCP,silver
NBWY0,5YRO9,other
1QR8S,IMRE9,silver
AAXHY,WEF0G,silver
54X9J,UP07X,platinum
PGIMT,SS0IS,silver
QOTD7,ZCWLT,platinum
WVM4H,T7AS3,other
Z0C1D,WYG6I,other
NUBJ2,PJZ1W,other
6CIJO,2BYNP,other
CE8BA,LMWIC,silver
XCN49,53TU6,gold
TTBO5,6CR0A,platinum
WDD2U,XV9E8,other
7BL9E,0GJJA,platinum
996PD,4Q6ZI,platinum
ICK2P,1GY9W,other
U812P,NCFKQ,platinum
Y4ZLS,11LSZ,silver
QANOO,X7E7Y,other
ZUE5A,LR5HD,silver
5DRRM,U93IP,platinum
9QQ6F,FKHGC,gold
Y7EWQ,755NT,silver
2000Q,4A1DK,gold
8790B,OV9IM,silver
7TCUA,D1H72,gold
XMENC,C8AZJ,platinum
LW98R,XE8IF,other
5J1AW,5G8KY,platinum
VAARN,3TVFH,platinum
45MOX,RVKZR,other
X817S,9IWTH,other
S5GDA,RZ30S,silver
ZMDY7,D6LF5,gold
U5PX8,WKCGJ,silver
DCO20,UOW05,other
SFBQF,BHX5N,gold
UOK50,5UII6,gold
DFJHG,4736I,other
LU5B8,7ALVQ,platinum
PKY6S,A12CA,silver
Y7WFQ,VTEEO,silver
1WFA4,GMR8H,gold
SHQ1D,H9K88,silver
GYN8X,DLR5O,platinum
3E8YH,22KEK,platinum
H2NLU,MAM38,platinum
T10CM,F6BXN,gold
5LO33,ECK03,gold
QNYMF,E9ULD,gold
ZNTAH,PW2RH,silver
OBYCI,4CO5C,gold
E2XNK,WA65H,silver
F0USU,GJUIE,gold
PMZ0J,SQANO,gold
OS1S0,I8L5K,gold
DZZRB,L8WZZ,other
HBSCB,HZMMD,other
9J5GF,ZBJUZ,gold
NPPAE,1ZCUJ,gold
IMW33,25FVY,other
NN2X8,CRGE1,silver
WA1YY,PQN0T,other
UJANN,9ROCB,other
I5R98,B7P8D,gold
UMB0U,XKLIS,platinum
PUZUU,AM4QP,platinum
PYGY9,JRUI0,platinum
V02LW,0QKV6,gold
QBFRI,0QKV6,other
SE8EI,T1N4Z,gold
8PDI9,94WWK,silver
GEILW,5OGA0,platinum
4RP8A,ZMCWM,silver
MY5UQ,4GL6Y,gold
JQOTT,AF0RN,platinum
J9FG5,QVZQO,silver
FOSKC,E1ZUS,silver
7H02W,WM645,silver
G21H1,BVR1A,gold
QKZI0,NW8PM,platinum
7FOMX,PY0HE,silver
356CV,QMTJ8,silver
95BS1,DB1AN,gold
FPS6O,AARTO,gold
F7OFQ,KQETE,gold
YH2FA,6TKZ2,silver
KW5PN,34DJN,silver
RAJQE,7H20X,other
P1P28,F8DX5,gold
G1RE5,DCZWA,silver
LEB1H,1E80I,silver
HKVT7,J3CX2,gold
IV0LJ,6GVOA,gold
MPS2A,RBHRC,silver
HANL0,E7OA3,gold
Z263U,YMEV1,other
RE1MF,EOJ9R,gold
FYZ0M,4019B,silver
5CU6I,RJBM4,silver
AIDK9,4SJQM,silver
QZOMV,LB1T8,other
ULBRJ,3EZKL,silver
6ZH03,BG37L,other
0FANT,U61SN,gold
ILYKM,INJ0O,other
7CLBC,438I2,platinum
R0MEF,J26P1,gold
87BU7,RY6J0,gold
UO8E2,LGFKI,other
23PG8,TGW4Y,gold
CD104,E7DGW,platinum
A1N5F,FEZS3,gold
0ISMB,0VUV4,platinum
9OXDJ,6IMOW,other
3ZGYT,KB771,gold
JYLUO,GSCX5,gold
0BPEX,4GLO5,platinum
8G8G4,BQU1U,silver
BK7L2,0GC5U,platinum
I1T6D,PNXYD,other
05TT7,WPQ2D,gold
21YMI,WFD3U,silver
EBQOU,3TVFH,gold
O60DS,WHAWF,gold
E1EY7,WFH69,gold
EHME0,28LUI,gold
UYA58,06KHT,silver
DQASS,5QSW0,platinum
TO9GM,I0CTU,platinum
0HA6I,L248Z,platinum
LY99M,DWJ7E,other
4MOET,XIYZT,platinum
D1RS7,RYEJM,silver
4ZQ9V,CZAMZ,other
EG4EI,F0HN3,silver
0RZLT,GY5EN,silver
D7T7J,TIZ11,other
1CNSR,02ISS,gold
2KRFU,03GH9,gold
1VVAE,GKYH3,platinum
XW1BX,EMTTB,gold
WVJ3G,I6OOA,other
2Y49T,IATKX,other
1UB50,7X6A6,platinum
UNHMI,Q7F1R,other
BXR0O,2Y6AJ,other
EGRBZ,L6KPB,silver
91VQV,AZDJX,gold
2PMG2,1HY8K,platinum
LWDTP,KTHM1,platinum
U4FUB,OIEQM,gold
HG04Y,AO8MT,silver
CPRM9,H1FKJ,gold
75A6B,LGZZ7,gold
X359G,C5CGK,other
93LX3,M3UJY,platinum
3B3YF,DZE3J,gold
FHJ2K,HD377,gold
1XVHX,Q0TQJ,other
GDMHL,41U3F,other
08IBI,TFNKP,other
68OPB,FX1CL,gold
FCUMX,B51ES,gold
UOD78,2XHJP,other
IU4J6,9H249,platinum
WICKR,M0TCG,silver
VPR0S,5Q3BJ,silver
4SJQM,TCYWW,gold
T4AGX,AIDK9,platinum
9PYMY,3PAFP,gold
QGSK9,XUK78,platinum
30Y0O,2GAUK,gold
1UT50,2ZRVD,other
4ZPCH,ZQUM2,silver
DUTU5,9K0AE,gold
ICGZP,XGZAA,gold
TGY0R,4LOD5,gold
AOS9B,2ZYL9,gold
6RJON,7BMI0,platinum
EFO3E,HV7MT,gold
IW1YV,9KEDJ,other
AM1NE,72DWL,silver
HT3YM,FD6RD,other
IBPFS,E51JK,gold
10VH4,K4ZWN,gold
4DGK4,8DWD2,other
BSKIY,QVMBI,platinum
HYJMK,IULJR,other
GBYB0,D1RXA,silver
U689F,W476F,platinum
EWCP6,3VPUT,other
E6ETC,PCN4U,other
6Z0GW,X3IZF,platinum
5LCEM,IDWYZ,platinum
2OLZ4,BZYES,gold
R0E96,S8LGJ,other
MN5MM,4XTAT,platinum
Q88PQ,0DC8E,other
I5PBV,EJCH5,gold
4ZL3C,T0EMO,gold
OO8OZ,V5TW5,gold
P4N68,2GZNR,other
W75FC,4S5G5,other
HM63I,94ATG,silver
89DVC,MV8JJ,silver
E6UY7,U1K4Y,other
SEG4W,NZJDU,platinum
BG6Y7,0VUV4,platinum
V13VR,G9ACX,other
F19QM,RGCSY,platinum
JX5W3,ZR0QS,silver
D2UWP,LRCM7,silver
INEW1,I080C,platinum
AJGC4,7B8CN,gold
6O3VW,Q1MSF,other
WUOER,Y9ZT5,silver
IANVS,86YME,other
KH66F,A28TD,platinum
ZC3TY,HP5AM,gold
9WZI7,U90VS,silver
071QV,UZS96,gold
S30PI,9SMV6,gold
ZIQ74,594BG,platinum
NO6XP,PFFBX,gold
TT58S,OHWNX,other
WHAIW,9YUQZ,gold
FNR15,YY363,gold
0AXF3,MCX38,silver
3Z5AQ,7NQA3,silver
H4USM,THJKW,platinum
EMVQA,RX59R,platinum
1V7I5,Q1COI,platinum
7QMWU,MZZJW,silver
8F60O,2KE00,silver
PLGOS,319LG,silver
G0SUG,B5P78,gold
11SY1,L399R,other
SEH22,DG8KZ,silver
U9PQK,XS8KW,other
A1GKO,ZFEZB,gold
8XW63,PSLIF,silver
OC8VF,QN61L,platinum
I813F,HWBR1,platinum
E1R3D,VYD6H,silver
C6SRA,6D2M8,platinum
QJS22,HX26K,other
5HILH,C0SR9,gold
S868N,X8EYA,other
JFH1P,2OVDK,silver
G35W0,EEB2W,gold
6H8CJ,K95U5,silver
BNRJG,UT4AJ,platinum
BAFRR,LF8NP,other
4UJXG,OQYQ8,platinum
DMNLY,3XNND,silver
OCJIM,8V7FB,other
3F1H9,I0PB5,gold
PHG93,MUXL6,platinum
13R9D,R8MZ9,silver
VMWW8,F07JE,other
3XZZM,NNB7T,platinum
PMTAD,18US8,other
3GVCS,F57GW,platinum
OFR8B,QF71F,gold
ITZG1,HY0XM,platinum
CL7TL,G934X,silver
9X2BH,NAIIX,gold
VG6X5,2QGSV,other
RT7RI,I7SVR,other
EDX4S,9H249,platinum
8K8JK,VOJ7T,silver
0J5BZ,3BGXG,platinum
7EZD9,SBTS3,gold
4TS99,YKVJM,other
BBMWD,IDJ1F,platinum
72E7U,F8X3C,silver
WVRX2,44T8U,platinum
1CVX0,4STWV,gold
W8LCO,8YT6D,silver
VF3I1,HAPZ0,gold
N67FU,37J9D,gold
KJAIJ,96INL,platinum
NCLUU,5OP9L,other
7LU7S,9UYJN,platinum
3HLQK,MMZ79,silver
TPC2Y,NWHC3,gold
6FPWO,KH7V9,platinum
VKFGE,2D25T,gold
NZP9X,DFL7M,gold
6V8V1,8LXVO,other
CEEB2,RKTNQ,silver
C5HMM,UC2HJ,other
JNPML,UBVEC,platinum
K3H8T,NQG7W,other
OJLBD,530GA,other
IHVX1,0O88R,platinum
MK95E,RABV0,other
3SCZW,N97MD,gold
OMFPJ,IHHDW,other
2HEYT,2CI85,silver
8515L,2UAVR,platinum
DGUKH,EC6R4,other
4JZLD,O5RYB,platinum
LF0LK,2B7KI,silver
1OSL7,0XGW8,other
PLM7U,NL683,silver
0NSU4,T2WYE,platinum
6BF98,5A8V2,other
UCB4Z,XRO3I,other
XJ0TX,B7K9J,silver
KEX7O,H9V8N,other
GNJYK,32MX6,platinum
5PMZL,IX6P3,gold
DBG4L,COOZX,other
LQ46R,NH2J4,platinum
06EF7,HOQU6,gold
X77OD,IGA77,gold
46TTL,E4N93,platinum
CJKSC,TWKUK,silver
1KCK1,NWLER,gold
84V7K,5V4K8,platinum
5LPAU,YSC4Z,platinum
86SME,BNV1R,platinum
I8AQG,PB6XJ,other
U6MB6,W6LKJ,silver
TZA7Z,9I9Y8,gold
OJU7Y,SAF95,platinum
1UWPS,V16D0,silver
BEZ2O,5D3RE,platinum
HJXLX,T8P6V,platinum
PP5C1,LQ4YI,gold
AS23N,D6C70,gold
9YGH1,QJ1MU,gold
J9YNB,N25NF,silver
ISRKC,419G0,gold
ENY2B,Q5QJB,gold
QNEG8,960GI,silver
1UN8Y,H3AP5,silver
A166A,W30RB,gold
SNBTH,CVOKE,platinum
PT9X5,0XW9D,other
XABER,Y3J4Q,silver
7K20Z,EGVM6,silver
QBQXL,KK7O0,silver
WSLM4,1MWCH,platinum
BA4KP,23CI8,platinum
ZI0E7,RUZMY,gold
Q76VK,7M4PP,other
F2BGX,YCQSP,gold
GKF09,6WVRX,other
YLZE1,27D57,silver
JUOY6,JDH5Z,other
MUA5Y,KQ51N,other
651I2,2MVW8,silver
K9OLE,NZOSU,other
4LNTY,MS685,platinum
1YBQK,8XK4U,other
4LH86,EZF9Y,silver
1TIS8,2BRQK,other
BS7C6,S68BT,silver
P1UQC,QS5K3,platinum
7TEPU,JKSCU,platinum
EQTUF,PKL13,silver
8S33G,7XYZA,other
DBI0L,3XND7,gold
Z08AW,4GHSM,other
4DNYR,23N21,platinum
4C35F,5K8GZ,gold
WKVV3,WOL22,silver
Z0JD0,RMBFD,silver
6492J,B6GBP,gold
ZHWOA,PMWNT,silver
81RX1,6TKZ2,gold
KWW0H,3SY96,other
ETK7Y,40MFQ,platinum
SLH7T,GO6WC,gold
RVDPF,JMKN1,platinum
1HOKW,8OTA0,gold
P5V92,GHBRA,silver
2BAF5,DOPBR,silver
S1FXP,OGSHX,platinum
1WVD2,ODYC4,other
UPQUZ,8Q5YN,silver
QQ474,AYB53,silver
GBBTO,6LD2P,platinum
JLG57,HSI5F,silver
XWX43,56E9K,silver
XC0BC,CITLD,silver
6I0ZJ,X39UG,other
87AGR,NS9ZE,other
SPKJC,S9A5U,silver
QEAUH,CTRTQ,gold
NIOZF,QQY9T,silver
9J0C6,BU6RF,platinum
AJVV1,JDHSH,silver
3UV6A,DJOFF,platinum
PD002,UYCHU,gold
00B5O,39KRE,platinum
LTJ4P,RSOS8,platinum
UXEQ6,8VPDR,other
HZPT7,NOYYO,platinum
1N52Y,XHB5V,gold
JX9RG,9LZIA,platinum
LTLMW,WQG5T,silver
AOIBW,3LA1T,platinum
XH9I7,Q9VTV,silver
CBT54,MVR7X,gold
18X0L,3L5OC,gold
N5L8H,3HZ88,gold
2JBJM,TLCX8,silver
O4USJ,SOC52,gold
A75OD,X39UN,gold
CBNVU,HXF13,platinum
3VVKJ,QIDW5,platinum
AACY6,Z1OGK,other
HA43Q,JIVVC,other
11WF7,OYR9G,gold
1PE4F,220YV,silver
KUSVT,BNMKU,platinum
ZJOHA,LFM42,gold
FFL5Q,CF7VH,gold
I0IFT,C673U,silver
4MFHY,CHL7D,gold
8M0PN,6FDIY,gold
NN9EZ,B5AGB,other
X7EZB,KQ2WO,platinum
FBY50,U9N6V,silver
MFY4V,7YSML,other
TXBKH,IV9HI,gold
9UH8P,KDGEM,gold
345OA,V2IK3,platinum
OVZHM,6QQG1,platinum
0E03B,IZI8Z,platinum
8H63U,FBDW7,other
BO0VS,JNY08,silver
YVMGO,DCIAL,other
OP09N,X12KD,other
A0Z4K,1M8IN,other
JLLFG,2VQV8,gold
BSLT1,Q83VE,silver
O3K3C,RDHCK,other
5HRVC,EHTGX,other
9BLHN,F3BJG,other
MIT60,I3UUY,gold
5C517,76IIX,silver
QPX66,IW0J0,platinum
XXUJE,AKGF9,gold
ZB2O6,MT1TQ,other
ZPU3B,2V1QS,other
GA28Z,KUPJA,silver
BZH7Z,A5MWT,silver
2VF69,0KX7H,gold
F95B8,ZEDUV,platinum
28DAD,S2UB0,silver
0Z7NT,K6MZV,gold
3W4NZ,ODLOD,silver
DD2OG,E9ENZ,silver
J5Q9X,CGSY8,gold
3132C,PE1VG,other
2EU0I,9GVYW,platinum
W1NG0,I3VNN,silver
NBPGB,75PL2,silver
3MUAQ,EOD6K,platinum
SDNRD,70TYX,silver
RGKTA,AP7NN,platinum
7P1K0,36FY3,platinum
H2W89,EHME0,silver
ADZ0U,QMI7U,silver
2WHVY,U36A1,platinum
XAXW6,JE2Q7,platinum
PWJ8Y,WPS57,gold
5MZ50,4JPGT,silver
OCSC1,XU3XN,silver
8EUF8,JVCOP,gold
YFZ27,VCSEM,platinum
YMCPD,C9OUY,silver
Y3V0Y,M5KD4,gold
3S4NA,C4IMU,silver
8N1EU,232AW,other
9AZ2O,S8TEQ,gold
878P7,0S665,platinum
64PGM,F4YDD,platinum
N638X,3LA1T,silver
IFT9Q,LJJLK,silver
431X6,2EEVY,gold
ZQHQC,ZO0C6,silver
7GEO2,CWY3U,platinum
MX3QW,LHO40,platinum
SJBRY,ASJPL,platinum
7YZ9B,LIZRS,platinum
WYYUR,KLT06,platinum
5UTUL,8PC6Z,gold
QKCHY,ACFJ8,platinum
K5HSM,ZCNJT,silver
IWN8I,SXABC,platinum
OYDQ2,9JEC1,other
449GT,S770A,gold
H8DDE,WC07K,other
7V4S2,4IWBP,silver
0ZDI4,KD3UG,platinum
S8QM4,BQT8U,silver
50L99,PTUTJ,gold
804EM,E30YJ,silver
NH1O3,7FX8V,platinum
BT0YW,N184W,silver
QZNEW,K3GZ3,gold
UA79F,UXJ7D,gold
RY2Y8,9P9M7,other
HA0VN,GJOBZ,silver
6U26L,6UTC0,gold
TOUN4,3ZYZ5,silver
4CV5W,BJH11,silver
T2U87,2CTTN,gold
IQ4RF,HVQNB,gold
VLN9Q,BVCKC,other
FQ3C7,Q1HVC,silver
83MP0,C4G5P,gold
QHB9R,YCE2Z,other
ACLOM,CY6Y6,gold
650B6,PYTP4,gold
WPKPE,UOK1I,gold
2XCXK,SY32T,other
JMM47,3MFED,silver
5B57Y,H7ARP,silver
MSFYT,LRWEK,gold
DGBGJ,LXTQL,gold
DO6J3,K22M7,gold
XT3P6,8TL5U,silver
YU4EP,D6NS6,gold
MQGZW,ZLWIW,other
XG97C,BY7OP,gold
O5A0N,BIADB,platinum
RWCUH,J101F,gold
K6NUT,LHYK7,gold
8UQPC,OYO9S,other
V03K5,AJPY2,gold
7VX0V,F74DR,gold
TIXP5,W8GRD,platinum
RFJUF,53TU6,silver
8CA3E,HYMFQ,gold
8C087,TO2MS,silver
OF8AM,FPABM,silver
K7JYC,OOD7L,other
3UDKS,P4YRD,platinum
PZJMV,7CQEC,other
X39UG,DWLKH,silver
3XS6I,6WWSZ,silver
MLP0T,PV1HV,silver
3DM33,24GS6,gold
6X0RK,X4QQL,gold
UTJSK,9WEYH,silver
KO5B2,45M4U,platinum
QZB60,7XERB,gold
ZFHM0,ERZ51,silver
R5LZM,ENFF8,silver
6MBE3,6PBFL,silver
1CFX8,VVZIM,platinum
NX3O5,A9TXT,gold
XY2P7,49ZYJ,platinum
Y1TW2,OXCW7,platinum
XXNFW,WMPX7,platinum
QMGD0,N09PN,silver
0L7KR,GQF1T,gold
4AZF9,WGXV7,platinum
Y3PKW,ABET2,platinum
KY9WW,GP5MN,silver
2YI3V,S1RFB,platinum
45OPI,5QRTB,platinum
9DYD9,39ATP,other
0PFWU,W6HFD,platinum
93FGD,WMVNR,platinum
R2J9I,35P4U,silver
9Y64U,CU3A5,other
2L20G,ITD71,other
BMNJP,MQQVX,other
7Q3SH,T6J97,platinum
LO0YU,JLFEK,platinum
60GMX,T8ZBI,silver
8YAND,CNUS5,other
WJ1R0,NH1O8,platinum
0D3OT,8SQEH,silver
HZME1,6BHPB,silver
OT86Y,PQN0T,platinum
61F2K,6Z9KH,platinum
A8ASV,2PFJM,silver
UFPQW,X5DCB,silver
OJS50,VUI3I,other
XDVGN,9DCI2,gold
DP7AH,MFQGX,gold
W6GWC,LR320,silver
BVSQ4,K24KC,platinum
6Q2GE,WAO8L,other
ITVFT,CFSGT,silver
DKKYC,IEVU6,silver
0VN1Q,O3FA4,platinum
PU0DA,GBXRH,platinum
PVPVQ,8PX7U,silver
6GE8P,F4D56,platinum
XA13H,IUVAF,platinum
O8P6K,88VSC,other
RL4GH,5C78L,other
J7X67,FEOCH,silver
YHIW4,0LZIC,platinum
7CCL0,SUMZL,platinum
0KZER,MN4E1,platinum
N3L5O,ZVDC2,gold
NCRC9,5ZGDH,gold
M27NH,6L094,silver
PKG0W,0CSWD,other
SJDA8,UDROS,gold
3D0SZ,08CXH,platinum
CGI9S,B4WGO,other
W2TEO,Q9PZU,other
VRZI0,3LTZ6,other
SPTMC,3ZCRU,platinum
AGGMH,LR5HD,gold
IIIOW,GP13P,other
2W2XI,M7W3L,silver
6A4NL,VEUWA,other
8CEGS,A884E,silver
8F0GK,ZOF3P,other
XH1CH,H1BUL,other
5K0FR,CTO6D,silver
V8VR5,U6SD3,platinum
M5EER,AT86G,platinum
4WPFU,AFXTC,other
V8M5I,BVRVO,silver
HNY3J,Y9K0O,other
ABNJP,T05UK,silver
M2S46,RG4YT,other
TPYFK,HVQNB,gold
VFABI,SR0SZ,other
M62GF,CIZ9R,platinum
S3K0Q,9Y0AS,gold
SIIKY,2T84X,gold
GZU87,2LVHD,gold
C6A9W,HT61B,silver
4BF6S,NKVYU,gold
2KPA5,2A9Y6,gold
V2JHG,I75TY,platinum
0ID00,HNTRA,platinum
XLFDI,8XX3H,platinum
O8LQM,EJOSY,gold
G8VNN,TRUAN,gold
SHUWF,3ZCRU,platinum
6PQRU,X920E,other
0DIS4,HZIBN,gold
8EHP5,NT1N2,gold
YMU05,GH9JK,other
H2J99,JHAMI,gold
RB5GW,Q4HF2,gold
IDNCL,DP3EN,gold
N227N,5S9UH,gold
9BPYB,EDDNH,platinum
LSXOD,9O6WN,other
3P6VU,AOK6V,silver
GB2DV,31SE6,gold
NILG9,RAYAM,gold
WSIRQ,WOSYA,gold
Y3UJL,MB7GL,platinum
RFLBJ,KY3KK,silver
LX7DP,50FCE,other
D4D9P,OIEQM,silver
IVTO2,OHYJM,gold
Q2VY0,VIZLC,silver
PGEIQ,CRABF,other
HKIAK,NPEC1,gold
9S73Z,HLH8X,gold
ON411,HXO0J,silver
7BZYJ,EBNSI,silver
ENX1I,8W083,platinum
4DVE5,IXZI0,gold
Z9GOG,I4PEW,silver
7S0TQ,3IG9B,platinum
UHUVZ,C27CW,platinum
LWK9C,WW0H1,silver
078AZ,4L03F,platinum
G5NXS,XJ88C,gold
YCBYD,CZ2PH,platinum
H3VK2,2G64D,silver
F4BCT,IOTNG,platinum
HYS5H,JGRUB,silver
UDGB5,E5V7Z,platinum
V0PBP,AAW8F,platinum
4V7LU,RGTHN,platinum
VDBVB,SADP6,other
8167S,UEMJP,gold
F1B7R,JS23E,gold
OCVBQ,VL2CW,other
0QB5R,38Y9J,other
5Z068,CLAVN,platinum
4WWLW,CBRBH,platinum
HBWJX,GZEHZ,silver
325B6,VDPBY,gold
0B8XT,NUH8C,silver
DTJR5,16XZX,silver
OCA96,X3O4G,silver
92099,S92GG,platinum
1AO0B,R9TLZ,platinum
V5H96,DF4GM,platinum
